_date,total_clones,unique_clones
2022-03-03,1,1
2022-03-04,1,1
2022-03-06,2,1
2022-03-07,9,5
2022-03-09,4,1
2022-03-10,6,2
2022-03-11,3,3
2022-03-12,2,1
2022-03-13,2,2
2022-03-15,8,6
2022-03-16,7,2
2022-03-17,2,2
2022-03-18,1,1
2022-03-19,10,4
2022-03-20,4,4
2022-03-21,19,3
2022-03-22,8,4
2022-03-23,101,4
2022-03-28,1,1
2022-03-30,3,2
2022-04-02,1,1
2022-04-04,2,2
2022-04-05,2,2
2022-04-09,2,2
2022-04-11,3,3
2022-04-12,3,2
2022-04-15,1,1
2022-04-18,3,3
2022-04-20,1,1
2022-04-21,10,3
2022-05-03,1,1
2022-05-04,5,3
2022-05-05,2,1
2022-05-11,1,1
2022-05-12,1,1
2022-05-15,2,1
2022-05-16,3,2
2022-05-17,2,2
2022-05-18,1,1
2022-05-19,1,1
2022-05-22,1,1
2022-05-23,1,1
2022-05-26,6,2
2022-05-27,2,1
2022-05-29,1,1
2022-05-30,5,4
2022-05-31,1,1
2022-06-01,2,1
2022-06-05,2,2
2022-06-06,94,4
2022-06-09,1,1
2022-06-10,4,2
2022-06-12,2,2
2022-06-13,1,1
2022-06-14,1,1
2022-06-15,3,2
2022-06-18,1,1
2022-06-19,2,2
2022-06-20,1,1
2022-06-21,1,1
2022-06-26,1,1
2022-06-29,4,3
2022-06-30,1,1
2022-07-02,1,1
2022-07-03,1,1
2022-07-04,1,1
2022-07-06,2,2
2022-07-07,1,1
2022-07-09,1,1
2022-07-10,1,1
2022-07-11,1,1
2022-07-17,3,3
2022-07-24,3,2
2022-07-25,1,1
2022-07-27,6,2
2022-07-28,19,4
2022-07-29,7,5
2022-07-30,3,2
2022-07-31,5,4
2022-08-01,8,4
2022-08-02,5,4
2022-08-03,2,2
2022-08-04,4,4
2022-08-05,3,3
2022-08-06,2,1
2022-08-07,3,3
2022-08-08,5,5
2022-08-09,22,8
2022-08-10,7,5
2022-08-11,4,4
2022-08-12,1,1
2022-08-13,1,1
2022-08-14,3,3
2022-08-15,4,2
2022-08-16,1,1
2022-08-17,4,3
2022-08-18,1,1
2022-08-19,2,2
2022-08-20,3,3
2022-08-21,5,4
2022-08-22,2,2
2022-08-23,7,4
2022-08-24,3,3
2022-08-25,3,3
2022-08-26,2,2
2022-08-27,2,2
2022-08-28,2,1
2022-08-29,2,2
2022-08-30,5,4
2022-08-31,20,7
2022-09-01,6,5
2022-09-02,4,3
2022-09-03,3,3
2022-09-04,3,3
2022-09-05,9,6
2022-09-06,4,3
2022-09-07,4,2
2022-09-09,1,1
2022-09-11,1,1
2022-09-12,15,5
2022-09-19,1,1
2022-09-21,1,1
2022-09-23,5,4
2022-09-24,1,1
2022-09-26,4,3
2022-09-28,1,1
2022-10-03,3,3
2022-10-04,1,1
2022-10-05,9,4
2022-10-07,2,2
