_date,total_views,unique_views
2022-03-02,13,8
2022-03-03,104,15
2022-03-04,120,11
2022-03-05,1,1
2022-03-06,5,2
2022-03-07,225,17
2022-03-08,47,13
2022-03-09,96,11
2022-03-10,166,6
2022-03-11,81,10
2022-03-12,6,1
2022-03-13,1,1
2022-03-14,29,5
2022-03-15,122,7
2022-03-16,150,14
2022-03-17,34,6
2022-03-18,24,3
2022-03-19,14,3
2022-03-20,33,3
2022-03-21,61,11
2022-03-22,75,7
2022-03-23,109,15
2022-03-24,58,5
2022-03-25,34,9
2022-03-26,3,2
2022-03-27,5,1
2022-03-28,17,3
2022-03-29,30,10
2022-03-30,75,6
2022-03-31,92,11
2022-04-01,23,9
2022-04-03,1,1
2022-04-04,12,8
2022-04-05,96,11
2022-04-06,13,4
2022-04-07,2,1
2022-04-08,20,8
2022-04-09,127,4
2022-04-10,5,4
2022-04-11,29,5
2022-04-12,32,5
2022-04-13,12,7
2022-04-14,61,4
2022-04-15,10,4
2022-04-16,3,1
2022-04-17,2,1
2022-04-18,1,1
2022-04-19,5,1
2022-04-20,46,11
2022-04-21,97,7
2022-04-22,8,4
2022-04-23,1,1
2022-04-24,12,2
